Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Tue, 14 Feb 2023 17:21:00 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2010-0692-ITA,2010,0692,,Natural,Meteorological,Storm,Convective storm,,,Italy,ITA,Southern Europe,Europe,"Veneto, Toscana, Liguria, Valle D'aosta, Lombardia, Friuli-venezia Giulia, Sicilia provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2010,10,31,2010,11,2,3,5,,,5,,,,,872000,1170321,74.50944408,1,1621;1623;1624;1630;1631;1634;1635,,"Friuli-venezia Giulia, Liguria, Lombardia, Sicilia, Toscana, Valle D'aosta, Veneto (Adm1)."
2010-0601-BEL,2010,0601,,Natural,Hydrological,Flood,Riverine flood,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Vlaams Gewest, Region wallonne provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,8458,Km2,50.85,4.35,,,2010,11,11,2010,11,15,3,,690,,690,,,,,238146,319619,74.50944408,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2010-0619-BIH,2010,0619,FL-2010-000248,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Tomislavgrad, Drvar municipalities (Zapadnobosanski district), Sarajevo, Tmovo, Ilidza municipalities (Sarajevo district), Foca-Ustikolina, Pale-Praca municipalities (Gornjedrinski district), Domaljevac-Samac municipality (Posavski district), Ravno, Caplijnski, Citluk , Caplijna, Stolac, Mostar municipalities (Neretvljanski) (Federacija Bosne I Hercegovine province), Novi Grad municipality (Bosanski Novi district, Republika Srpska province) ; Bijelijna, Visegrad, Zvornik, Tuzla, Gorazde, Trebinje, Bileca, Nevesinje, Foca, Orasje, Maglaj, Bosanaska Krupa, Bratunac districts (Republika Srpska province)",,"Slide (land, mud, snow, rock)",,Yes,,Yes,,,Km2,,,,Drina,2010,12,3,2010,12,5,3,,20000,,20000,,,,,,,74.50944408,2,,6241;6242;6243;6244;6248;6252;6253;6256;6258;6261;6268;6271;6289;6293;6297;6315;6317;6319;6321,"Bijeljina, Bileca, Bosanska Krupa, Bosanski Novi, Bratunac, Foca, Gorazde, Gornjedrinski, Maglaj, Neretvljanski, Nevesinje, Orasje, Posavski, Sarajevo, Trebinje, Tuzla, Visegrad, Zapadnobosanski, Zvornik (Adm2)."
2010-0193-CZE,2010,0193,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Opava, Bruntal, Novy Jicin, Frydek-Mistek, Ostrava-mesto, Karvina districts (Moravia-Silesia region, Severomravsky province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Becva river,2010,5,15,2010,5,26,1,,1200,,1200,,,,,190000,255001,74.50944408,2,,14846;14847;14849;14850;14852;14853,"Bruntal, Frydek-Mistek, Karvina, Novy Jicin, Opava, Ostrava-mesto (Adm2)."
